index,stock_id,year,file_path,mda_sentence,audit_sentence,mda_score,audit_score
600301/2012,600301,2012,clean1\上证A股ST公司\600301\南宁化工股份有限公司2012年年度报告.pdf.txt_total.md,32,18,-0.313409795,-0.319565854
600301/2013,600301,2013,clean1\上证A股ST公司\600301\南宁化工股份有限公司2013年年度报告(修订版).pdf.txt_total.md,35,33,-0.103758401,-0.393674129
600301/2014,600301,2014,clean1\上证A股ST公司\600301\南宁化工股份有限公司2014年报.pdf.txt_total.md,12,19,-0.228328905,-0.282320326
600321/2016,600321,2016,clean1\上证A股ST公司\600321\_ST正源2016年年度报告（更正后）.pdf.txt_total.md,76,11,0.072857607,-0.063426966
600321/2017,600321,2017,clean1\上证A股ST公司\600321\_ST正源2017年年度报告（更正后）.pdf.txt_total.md,75,52,0.249194775,-0.09337212
600321/2018,600321,2018,clean1\上证A股ST公司\600321\_ST正源2018年年度报告.pdf.txt_total.md,65,47,0.20454501,-0.085541995
600321/2012,600321,2012,clean1\上证A股ST公司\600321\四川国栋建设股份有限公司2012年年度报告.pdf.txt_total.md,8,10,0.462897796,-0.169919908
600321/2013,600321,2013,clean1\上证A股ST公司\600321\四川国栋建设股份有限公司2013年年度报告.pdf.txt_total.md,5,10,0.846183243,-0.16981639
600321/2014,600321,2014,clean1\上证A股ST公司\600321\四川国栋建设股份有限公司2014年报.pdf.txt_total.md,46,11,-0.093677264,-0.063284283
600321/2015,600321,2015,clean1\上证A股ST公司\600321\国栋建设2015年年度报告.pdf.txt_total.md,57,12,0.066618537,-0.044073139
600397/2018,600397,2018,clean1\上证A股ST公司\600397\_ST安煤2018年年度报告.pdf.txt_total.md,48,46,0.19844741,-0.082527883
600397/2015,600397,2015,clean1\上证A股ST公司\600397\安源煤业2015年报.pdf.txt_total.md,43,11,0.044020669,-0.063282569
600397/2016,600397,2016,clean1\上证A股ST公司\600397\安源煤业2016年年度报告.pdf.txt_total.md,44,11,0.078652438,-0.063282569
600397/2017,600397,2017,clean1\上证A股ST公司\600397\安源煤业2017年年度报告.pdf.txt_total.md,40,46,0.10822273,-0.082637243
600397/2012,600397,2012,clean1\上证A股ST公司\600397\安源煤业集团股份有限公司2012年年度报告.pdf.txt_total.md,50,11,0.253846657,-0.063591887
600397/2013,600397,2013,clean1\上证A股ST公司\600397\安源煤业集团股份有限公司2013年年度报告(修订版).pdf.txt_total.md,63,11,0.182844244,-0.063406659
600397/2014,600397,2014,clean1\上证A股ST公司\600397\安源煤业集团股份有限公司2014年报.pdf.txt_total.md,71,11,0.116297115,-0.063467797
600399/2018,600399,2018,clean1\上证A股ST公司\600399\_ST抚钢2018年年度报告.pdf.txt_total.md,50,46,0.075801979,-0.083572699
600399/2012,600399,2012,clean1\上证A股ST公司\600399\抚顺特殊钢股份有限公司2012年年度报告(修订版).pdf.txt_total.md,22,11,-0.02223668,-0.063636467
600399/2013,600399,2013,clean1\上证A股ST公司\600399\抚顺特殊钢股份有限公司2013年年度报告.pdf.txt_total.md,15,11,0.485316736,-0.063411178
600399/2014,600399,2014,clean1\上证A股ST公司\600399\抚顺特殊钢股份有限公司2014年报.pdf.txt_total.md,41,11,0.223303921,-0.063452172
600399/2016,600399,2016,clean1\上证A股ST公司\600399\抚顺特钢2016年年度报告.pdf.txt_total.md,35,13,-0.038516068,-0.088139392
600399/2017,600399,2017,clean1\上证A股ST公司\600399\抚顺特钢2017年年度报告.pdf.txt_total.md,74,13,-0.259796738,-0.224763115
600401/2015,600401,2015,clean1\上证A股ST公司\600401\_ST海润2015年年度报告.pdf.txt_total.md,70,13,0.056416921,-0.058551096
600401/2016,600401,2016,clean1\上证A股ST公司\600401\_ST海润2016年年度报告（修订版）.pdf.txt_total.md,81,6,-0.060827508,-0.584558761
600401/2017,600401,2017,clean1\上证A股ST公司\600401\_ST海润2017年年度报告（修订版）.pdf.txt_total.md,34,19,-0.380660662,-0.455011112
600401/2018,600401,2018,clean1\上证A股ST公司\600401\_ST海润2018年年度报告.pdf.txt_total.md,49,16,-0.212936837,-0.355877932
600401/2012,600401,2012,clean1\上证A股ST公司\600401\海润光伏科技股份有限公司2012年年度报告(修订版).pdf.txt_total.md,93,12,0.309634309,-0.059002746
600401/2013,600401,2013,clean1\上证A股ST公司\600401\海润光伏科技股份有限公司2013年年度报告.pdf.txt_total.md,73,12,0.384045145,-0.059002746
600401/2014,600401,2014,clean1\上证A股ST公司\600401\海润光伏科技股份有限公司2014年报（修订版）.pdf.txt_total.md,52,15,0.17166002,-0.134163697
600408/2018,600408,2018,clean1\上证A股ST公司\600408\ST安泰2018年年度报告（修订版）.pdf.txt_total.md,46,69,0.026056228,-0.104996033
600408/2017,600408,2017,clean1\上证A股ST公司\600408\_ST安泰2017年年度报告（修订版）.pdf.txt_total.md,45,65,0.162945416,-0.104460151
600408/2015,600408,2015,clean1\上证A股ST公司\600408\安泰集团2015年年度报告（修订版）.pdf.txt_total.md,107,15,-0.206344625,-0.152084666
600408/2016,600408,2016,clean1\上证A股ST公司\600408\安泰集团2016年年度报告.pdf.txt_total.md,10,15,-0.416744905,-0.165765161
600408/2012,600408,2012,clean1\上证A股ST公司\600408\山西安泰集团股份有限公司2012年年度报告.pdf.txt_total.md,46,12,0.260682383,-0.058992781
600408/2013,600408,2013,clean1\上证A股ST公司\600408\山西安泰集团股份有限公司2013年年度报告.pdf.txt_total.md,45,12,0.165912673,-0.058992781
600421/2017,600421,2017,clean1\上证A股ST公司\600421\ST仰帆2017年年度报告.pdf.txt_total.md,14,49,-0.246028489,-0.143314726
600421/2018,600421,2018,clean1\上证A股ST公司\600421\ST仰帆2018年年度报告.pdf.txt_total.md,10,50,0.018138378,-0.168929437
600421/2015,600421,2015,clean1\上证A股ST公司\600421\仰帆控股2015年年度报告.pdf.txt_total.md,6,14,0.015168758,-0.099432954
600421/2016,600421,2016,clean1\上证A股ST公司\600421\仰帆控股2016年年度报告.pdf.txt_total.md,5,16,-0.444689364,-0.206783155
600421/2012,600421,2012,clean1\上证A股ST公司\600421\武汉国药科技股份有限公司2012年年度报告.pdf.txt_total.md,5,16,0.063243664,-0.220455424
600421/2013,600421,2013,clean1\上证A股ST公司\600421\武汉国药科技股份有限公司2013年年度报告(修订版).pdf.txt_total.md,9,12,0.238472622,-0.058991935
600423/2016,600423,2016,clean1\上证A股ST公司\600423\_ST柳化2016年年度报告（修订版）.pdf.txt_total.md,52,14,0.163502353,-0.199936837
600423/2017,600423,2017,clean1\上证A股ST公司\600423\_ST柳化2017年年度报告.pdf.txt_total.md,49,65,-0.061869322,-0.247132528
600423/2018,600423,2018,clean1\上证A股ST公司\600423\_ST柳化2018年年度报告（修订版）.pdf.txt_total.md,41,46,-0.333348821,-0.102976551
600423/2015,600423,2015,clean1\上证A股ST公司\600423\柳化股份2015年年度报告（修订版）.pdf.txt_total.md,46,11,0.052796953,-0.063592185
600423/2013,600423,2013,clean1\上证A股ST公司\600423\柳州化工股份有限公司2013年年度报告.pdf.txt_total.md,48,11,0.000241428,-0.063406957
600423/2014,600423,2014,clean1\上证A股ST公司\600423\柳州化工股份有限公司2014年报（修订版）.pdf.txt_total.md,102,11,-0.001329668,-0.063920895
600539/2016,600539,2016,clean1\上证A股ST公司\600539\ST狮头2016年年度报告.pdf.txt_total.md,40,12,-0.178983547,-0.058708536
600539/2015,600539,2015,clean1\上证A股ST公司\600539\_ST狮头2015年年度报告.pdf.txt_total.md,56,12,-0.280215788,-0.058708536
600539/2018,600539,2018,clean1\上证A股ST公司\600539\_ST狮头2018年年度报告.pdf.txt_total.md,37,46,0.214298231,-0.077414739
600539/2012,600539,2012,clean1\上证A股ST公司\600539\太原狮头水泥股份有限公司2012年年度报告(修订版).pdf.txt_total.md,48,15,-0.21079901,-0.070777257
